Journée du 01/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,57711,63667,64354
00:15,57122,64233,64521
00:30,62700,63100,63715
00:45,62700,63100,62502
01:00,61100,61300,61490
01:15,61100,61300,61780
01:30,61600,62000,61542
01:45,61600,62000,61594
02:00,61300,61700,61085
02:15,61300,61700,61410
02:30,59700,60300,60750
02:45,59700,60300,60067
03:00,57800,58800,59266
03:15,57800,58800,58795
03:30,56400,57900,58178
03:45,56400,57900,57656
04:00,55200,56600,56876
04:15,55200,56600,56698
04:30,54200,56100,56239
04:45,54200,56100,55908
05:00,54000,55700,55611
05:15,54000,55700,56089
05:30,53800,55700,55820
05:45,53800,55700,55819
06:00,53500,55700,55713
06:15,53500,55700,56393
06:30,54100,56400,56440
06:45,54100,56400,56569
07:00,54100,56700,56701
07:15,54100,56700,56884
07:30,54300,57000,57024
07:45,54300,57000,57005
08:00,54400,57300,57188
08:15,54400,57300,57114
08:30,54100,57200,57232
08:45,54100,57200,57313
09:00,54200,57300,57283
09:15,54200,57300,57233
09:30,54900,58000,57629
09:45,54900,58000,58055
10:00,55600,58700,58320
10:15,55600,58700,58527
10:30,56500,59000,58802
10:45,56500,59000,59161
11:00,57300,59600,59353
11:15,57300,59600,59769
11:30,57900,60100,60026
11:45,57900,60100,60189
12:00,59700,61200,60491
12:15,59700,61200,61069
12:30,59400,60600,60531
12:45,59400,60600,61576
13:00,60600,61700,61332
13:15,60600,61700,60866
13:30,58700,59700,60021
13:45,58700,59700,59329
14:00,57700,58400,58467
14:15,57700,58400,58084
14:30,57100,57100,57258
14:45,57100,57100,56733
15:00,55800,56400,56304
15:15,55800,56400,56335
15:30,55200,55700,55955
15:45,55200,55700,55498
16:00,54600,55200,55227
16:15,54600,55200,55272
16:30,54800,55400,55418
16:45,54800,55400,55701
17:00,55900,56500,56061
17:15,55900,56500,57011
17:30,58200,58700,58141
17:45,58200,58700,59309
18:00,59900,60400,60251
18:15,59900,60400,61026
18:30,61300,61700,61574
18:45,61300,61700,62175
19:00,62500,62800,62695
19:15,62500,62800,63155
19:30,62200,62700,63189
19:45,62200,62700,62931
20:00,61400,62000,62520
20:15,61400,62000,62029
20:30,60200,61000,61367
20:45,60200,61000,60746
21:00,59300,60200,60157
21:15,59300,60200,59910
21:30,58100,59200,59323
21:45,58100,59200,58839
22:00,57200,58400,58242
22:15,57200,58400,59418
22:30,58400,59800,59298
22:45,58400,59800,60780
23:00,60000,61500,60495
23:15,60000,61500,60263
23:30,59200,61200,59388
23:45,59200,61200,59262
,,,
,,,
Journée du 02/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,59394,58533,59136
00:15,58788,59867,59004
00:30,58300,57200,58067
00:45,58300,57200,56493
01:00,56600,55100,55366
01:15,56600,55100,55660
01:30,57100,55200,55179
01:45,57100,55200,55073
02:00,57000,55200,54515
02:15,57000,55200,54875
02:30,55800,53900,54310
02:45,55800,53900,53781
03:00,54400,52500,52954
03:15,54400,52500,52859
03:30,53600,52100,52352
03:45,53600,52100,51944
04:00,53000,51300,51465
04:15,53000,51300,51549
04:30,53000,51400,51384
04:45,53000,51400,51388
05:00,53800,51900,51440
05:15,53800,51900,52617
05:30,55200,53300,52955
05:45,55200,53300,53485
06:00,56600,54600,53952
06:15,56600,54600,55573
06:30,58900,57100,56233
06:45,58900,57100,57017
07:00,60600,58200,57776
07:15,60600,58200,58846
07:30,62700,60100,59651
07:45,62700,60100,60350
08:00,64600,61600,61166
08:15,64600,61600,61769
08:30,65700,62700,62324
08:45,65700,62700,62902
09:00,66500,63400,63295
09:15,66500,63400,63787
09:30,67900,64900,64477
09:45,67900,64900,64925
10:00,68600,65400,65244
10:15,68600,65400,65831
10:30,69300,66200,66110
10:45,69300,66200,66209
11:00,69800,66500,66282
11:15,69800,66500,66672
11:30,70500,66800,66903
11:45,70500,66800,67020
12:00,71700,68300,67587
12:15,71700,68300,68126
12:30,71400,68000,68326
12:45,71400,68000,69248
13:00,72000,69400,68798
13:15,72000,69400,68310
13:30,69800,67500,67695
13:45,69800,67500,67140
14:00,69100,66700,66538
14:15,69100,66700,66404
14:30,68600,65700,65947
14:45,68600,65700,65582
15:00,67600,64800,65035
15:15,67600,64800,64819
15:30,67000,64000,64326
15:45,67000,64000,63990
16:00,66500,63600,63657
16:15,66500,63600,63442
16:30,66300,63400,63321
16:45,66300,63400,63473
17:00,66800,63600,63537
17:15,66800,63600,64173
17:30,69000,65200,64819
17:45,69000,65200,65750
18:00,70300,66600,66487
18:15,70300,66600,67070
18:30,71400,67900,67662
18:45,71400,67900,68281
19:00,72400,69000,68906
19:15,72400,69000,68992
19:30,71800,68400,68766
19:45,71800,68400,68200
20:00,69900,66400,67532
20:15,69900,66400,66660
20:30,67900,64400,65572
20:45,67900,64400,64741
21:00,66200,62700,64015
21:15,66200,62700,63436
21:30,64700,61100,62607
21:45,64700,61100,61978
22:00,63500,59900,61273
22:15,63500,59900,62361
22:30,65000,61300,62341
22:45,65000,61300,63838
23:00,66700,63000,63623
23:15,66700,63000,63432
23:30,66200,62500,62878
23:45,66200,62500,62696
,,,
,,,
Journée du 03/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,63848,61167,62514
00:15,63197,61833,62122
00:30,60000,60500,61148
00:45,60000,60500,59748
01:00,58000,58400,58683
01:15,58000,58400,58948
01:30,58400,59200,58423
01:45,58400,59200,58455
02:00,58300,58600,57877
02:15,58300,58600,58165
02:30,57300,57200,57559
02:45,57300,57200,56994
03:00,56000,56000,56252
03:15,56000,56000,56027
03:30,55600,55400,55550
03:45,55600,55400,55196
04:00,55000,54500,54715
04:15,55000,54500,54912
04:30,55000,54600,54760
04:45,55000,54600,54774
05:00,56300,55200,54860
05:15,56300,55200,56024
05:30,57600,56600,56308
05:45,57600,56600,56920
06:00,59200,58000,57348
06:15,59200,58000,58974
06:30,61600,60300,59952
06:45,61600,60300,60700
07:00,63600,61900,61447
07:15,63600,61900,62738
07:30,65700,64200,63612
07:45,65700,64200,64348
08:00,67900,65800,65369
08:15,67900,65800,66171
08:30,69000,67300,66915
08:45,69000,67300,67491
09:00,69800,68100,67947
09:15,69800,68100,68342
09:30,71000,69400,68997
09:45,71000,69400,69325
10:00,71600,69600,69404
10:15,71600,69600,69689
10:30,72200,70100,70021
10:45,72200,70100,69980
11:00,72000,69800,69892
11:15,72000,69800,70144
11:30,72400,69900,70015
11:45,72400,69900,70036
12:00,73000,70500,70194
12:15,73000,70500,70376
12:30,72700,70000,70240
12:45,72700,70000,71094
13:00,73800,71300,70546
13:15,73800,71300,69643
13:30,71100,68200,68546
13:45,71100,68200,68032
14:00,70100,67400,67345
14:15,70100,67400,67030
14:30,69600,65900,66237
14:45,69600,65900,65638
15:00,68100,65000,65166
15:15,68100,65000,64927
15:30,67500,64400,64550
15:45,67500,64400,64317
16:00,67000,63700,63928
16:15,67000,63700,64054
16:30,66800,64300,64235
16:45,66800,64300,64596
17:00,68200,65800,65094
17:15,68200,65800,66113
17:30,70600,68200,67125
17:45,70600,68200,68529
18:00,72600,70300,69616
18:15,72600,70300,70561
18:30,74000,71700,71322
18:45,74000,71700,71856
19:00,74900,72500,72466
19:15,74900,72500,72524
19:30,74000,71900,72204
19:45,74000,71900,71847
20:00,72400,70500,71175
20:15,72400,70500,70266
20:30,71200,69000,69379
20:45,71200,69000,68620
21:00,68800,67100,67921
21:15,68800,67100,67590
21:30,67500,66300,66965
21:45,67500,66300,66454
22:00,66200,65500,65880
22:15,66200,65500,66988
22:30,67400,66400,66889
22:45,67400,66400,68472
23:00,69200,67800,68404
23:15,69200,67800,68264
23:30,68300,67200,67662
23:45,68300,67200,67508
,,,
,,,
Journée du 04/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,61572,66267,67355
00:15,60943,66733,67284
00:30,64500,65800,66483
00:45,64500,65800,65224
01:00,62300,63800,64109
01:15,62300,63800,64182
01:30,62600,64400,63677
01:45,62600,64400,63652
02:00,62200,63700,62960
02:15,62200,63700,63144
02:30,61000,61500,62160
02:45,61000,61500,61306
03:00,59400,60100,60506
03:15,59400,60100,60222
03:30,58200,59500,59714
03:45,58200,59500,59888
04:00,57400,59400,59589
04:15,57400,59400,59510
04:30,57200,59100,59216
04:45,57200,59100,59120
05:00,57100,58900,59049
05:15,57100,58900,59535
05:30,58300,59600,59659
05:45,58300,59600,59902
06:00,58900,60100,59922
06:15,58900,60100,60607
06:30,60300,61100,60919
06:45,60300,61100,61297
07:00,61500,62000,61689
07:15,61500,62000,62445
07:30,62700,63200,62975
07:45,62700,63200,63440
08:00,64200,64300,64076
08:15,64200,64300,64531
08:30,65300,65100,65037
08:45,65300,65100,65500
09:00,66300,66400,65944
09:15,66300,66400,66642
09:30,68000,67300,67210
09:45,68000,67300,67669
10:00,68600,68400,68217
10:15,68600,68400,68779
10:30,69200,69300,69143
10:45,69200,69300,69409
11:00,69400,69800,69624
11:15,69400,69800,69794
11:30,69200,69700,69760
11:45,69200,69700,69796
12:00,70300,71000,70019
12:15,70300,71000,70621
12:30,69800,70400,70714
12:45,69800,70400,71585
13:00,71100,71800,71155
13:15,71100,71800,70501
13:30,68400,68800,69516
13:45,68400,68800,68672
14:00,67200,67800,68073
14:15,67200,67800,67715
14:30,66600,66900,67257
14:45,66600,66900,66847
15:00,65500,66400,66553
15:15,65500,66400,66297
15:30,64800,65700,65967
15:45,64800,65700,65573
16:00,64000,64900,65145
16:15,64000,64900,64918
16:30,64000,64700,64785
16:45,64000,64700,64796
17:00,64600,65200,64991
17:15,64600,65200,65405
17:30,66600,66700,66002
17:45,66600,66700,67079
18:00,68500,68000,67759
18:15,68500,68000,68281
18:30,69500,68800,68758
18:45,69500,68800,69172
19:00,70300,69800,69555
19:15,70300,69800,69379
19:30,69500,68900,69099
19:45,69500,68900,68672
20:00,68000,67500,68041
20:15,68000,67500,67066
20:30,66300,65900,66146
20:45,66300,65900,65270
21:00,64800,64500,64634
21:15,64800,64500,64036
21:30,63200,63000,63136
21:45,63200,63000,62831
22:00,62600,62500,62235
22:15,62600,62500,63290
22:30,63400,63600,63108
22:45,63400,63600,64415
23:00,65000,65500,64202
23:15,65000,65500,63935
23:30,63800,64600,63248
23:45,63800,64600,63078
,,,
,,,
Journée du 05/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,53257,62133,62908
00:15,52713,63367,62822
00:30,62200,60900,61979
00:45,62200,60900,60486
01:00,59900,59000,59258
01:15,59900,59000,59447
01:30,60200,58600,58698
01:45,60200,58600,58452
02:00,59600,57900,57578
02:15,59600,57900,57699
02:30,57800,56200,56681
02:45,57800,56200,55747
03:00,55900,54400,54625
03:15,55900,54400,54055
03:30,54700,53000,53367
03:45,54700,53000,52753
04:00,53500,52100,52158
04:15,53500,52100,51892
04:30,52800,51200,51409
04:45,52800,51200,51083
05:00,52300,50600,50707
05:15,52300,50600,51171
05:30,52800,50900,50976
05:45,52800,50900,50905
06:00,52900,51000,50805
06:15,52900,51000,51259
06:30,53500,51100,51186
06:45,53500,51100,51263
07:00,54100,51600,51274
07:15,54100,51600,51427
07:30,54600,51800,51700
07:45,54600,51800,51971
08:00,55500,52400,52191
08:15,55500,52400,52554
08:30,55800,53000,52836
08:45,55800,53000,53131
09:00,56600,53800,53509
09:15,56600,53800,54210
09:30,57800,55100,54865
09:45,57800,55100,55302
10:00,58500,56500,55966
10:15,58500,56500,56672
10:30,59500,57300,57195
10:45,59500,57300,57536
11:00,60000,57900,57955
11:15,60000,57900,58239
11:30,60500,58700,58576
11:45,60500,58700,59132
12:00,61700,60900,59622
12:15,61700,60900,60608
12:30,61200,60200,60529
12:45,61200,60200,61196
13:00,63200,61500,60730
13:15,63200,61500,60099
13:30,60400,58200,58842
13:45,60400,58200,57990
14:00,58900,57100,57356
14:15,58900,57100,56854
14:30,58000,55900,56145
14:45,58000,55900,55611
15:00,56600,54600,54860
15:15,56600,54600,54679
15:30,55900,54300,54435
15:45,55900,54300,54111
16:00,55000,53800,53733
16:15,55000,53800,53889
16:30,54900,53800,53777
16:45,54900,53800,53771
17:00,55300,54000,53899
17:15,55300,54000,54439
17:30,57400,56200,55370
17:45,57400,56200,56419
18:00,59900,57800,57314
18:15,59900,57800,58314
18:30,61500,59600,59033
18:45,61500,59600,59798
19:00,63200,60700,60415
19:15,63200,60700,60806
19:30,62800,60600,60787
19:45,62800,60600,60356
20:00,61500,59200,59858
20:15,61500,59200,59102
20:30,60000,57656,58214
20:45,60000,57656,57507
21:00,58800,56442,56868
21:15,58800,56442,56569
21:30,57400,55304,55919
21:45,57400,55304,55480
22:00,56000,54514,54683
22:15,56000,54514,55573
22:30,56700,55142,55244
22:45,56700,55142,56538
23:00,59000,56729,56147
23:15,59000,56729,56002
23:30,58000,55829,55264
23:45,58000,55829,55093
,,,
,,,
Journée du 06/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,56127,54143,54922
00:15,55555,54986,54947
00:30,53800,53300,53916
00:45,53800,53300,52667
01:00,51600,51400,51532
01:15,51600,51400,51695
01:30,51800,51300,51048
01:45,51800,51300,51033
02:00,51700,50800,50371
02:15,51700,50800,50801
02:30,50200,49800,50098
02:45,50200,49800,49503
03:00,48600,48600,48587
03:15,48600,48600,48382
03:30,47300,47700,47799
03:45,47300,47700,47479
04:00,46400,47100,47116
04:15,46400,47100,47189
04:30,46700,46900,46949
04:45,46700,46900,47006
05:00,48000,47400,47137
05:15,48000,47400,48522
05:30,49900,49200,48947
05:45,49900,49200,49591
06:00,52500,51000,50394
06:15,52500,51000,52276
06:30,56300,54200,53658
06:45,56300,54200,54966
07:00,60200,57200,56629
07:15,60200,57200,58183
07:30,63100,60100,59464
07:45,63100,60100,60365
08:00,65700,61900,61353
08:15,65700,61900,62225
08:30,66600,62900,62800
08:45,66600,62900,63203
09:00,67100,63500,63343
09:15,67100,63500,63631
09:30,67600,63800,63774
09:45,67600,63800,64077
10:00,67800,64000,64125
10:15,67800,64000,63941
10:30,68000,63900,63949
10:45,68000,63900,63875
11:00,68100,64300,63928
11:15,68100,64300,64414
11:30,68200,64600,64550
11:45,68200,64600,64741
12:00,69500,65400,64738
12:15,69500,65400,65159
12:30,69300,64700,64784
12:45,69300,64700,65427
13:00,70200,65700,64688
13:15,70200,65700,64432
13:30,68600,63500,63624
13:45,68600,63500,63328
14:00,67900,63200,63094
14:15,67900,63200,62960
14:30,67800,62600,62765
14:45,67800,62600,62330
15:00,66800,61800,61925
15:15,66800,61800,61694
15:30,66500,61700,61232
15:45,66500,61700,61114
16:00,66100,61200,61156
16:15,66100,61200,60949
16:30,66000,61000,60758
16:45,66000,61000,60896
17:00,66300,61300,61146
17:15,66300,61300,61778
17:30,68400,63400,62585
17:45,68400,63400,63793
18:00,70400,65400,64729
18:15,70400,65400,65970
18:30,71600,66600,66782
18:45,71600,66600,67759
19:00,73000,68000,68435
19:15,73000,68000,68603
19:30,71500,66800,68201
19:45,71500,66800,67480
20:00,69200,64800,66580
20:15,69200,64800,65639
20:30,66800,62600,64597
20:45,66800,62600,63557
21:00,64700,60800,62548
21:15,64700,60800,61980
21:30,62800,59200,61242
21:45,62800,59200,60626
22:00,61100,57800,59815
22:15,61100,57800,60650
22:30,61600,58500,60502
22:45,61600,58500,61994
23:00,63800,61000,61853
23:15,63800,61000,61622
23:30,62600,59900,60693
23:45,62600,59900,60501
,,,
,,,
Journée du 07/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,59592,58967,60309
00:15,58984,59433,60229
00:30,56700,58500,59159
00:45,56700,58500,57847
01:00,54300,56600,56765
01:15,54300,56600,57010
01:30,55000,57100,56406
01:45,55000,57100,56491
02:00,54400,56300,55876
02:15,54400,56300,56166
02:30,53700,55400,55508
02:45,53700,55400,54983
03:00,52400,54400,54218
03:15,52400,54400,54351
03:30,51800,53700,53850
03:45,51800,53700,53397
04:00,51500,52700,52916
04:15,51500,52700,53192
04:30,51800,53100,53036
04:45,51800,53100,53095
05:00,52700,54400,53238
05:15,52700,54400,54682
05:30,54700,55500,55267
05:45,54700,55500,56273
06:00,57000,58200,57122
06:15,57000,58200,59332
06:30,60900,61500,60768
06:45,60900,61500,62158
07:00,64500,64700,63619
07:15,64500,64700,65532
07:30,67800,67400,66870
07:45,67800,67400,67931
08:00,70000,69100,68813
08:15,70000,69100,69378
08:30,70500,70100,69844
08:45,70500,70100,70072
09:00,70400,69800,69907
09:15,70400,69800,69787
09:30,70700,69900,69949
09:45,70700,69900,69923
10:00,70800,69500,69599
10:15,70800,69500,69451
10:30,70800,69100,69039
10:45,70800,69100,68914
11:00,70700,68900,68750
11:15,70700,68900,68733
11:30,71100,68300,68408
11:45,71100,68300,68417
12:00,71500,68900,68423
12:15,71500,68900,68635
12:30,71200,68000,68257
12:45,71200,68000,68671
13:00,72000,68900,68233
13:15,72000,68900,67836
13:30,69800,66400,66915
13:45,69800,66400,66312
14:00,69000,65900,65798
14:15,69000,65900,65540
14:30,68500,65200,65290
14:45,68500,65200,65006
15:00,67700,64300,64435
15:15,67700,64300,64241
15:30,67200,63800,63895
15:45,67200,63800,63656
16:00,66700,63600,63286
16:15,66700,63600,63412
16:30,66500,63500,63351
16:45,66500,63500,63491
17:00,66900,64000,63687
17:15,66900,64000,64671
17:30,69300,66600,65643
17:45,69300,66600,66792
18:00,71300,68700,67809
18:15,71300,68700,68788
18:30,72700,70300,69647
18:45,72700,70300,70456
19:00,74000,71700,71105
19:15,74000,71700,71185
19:30,72600,70600,70791
19:45,72600,70600,70180
20:00,70300,68600,69353
20:15,70300,68600,68725
20:30,68200,66800,67530
20:45,68200,66800,66516
21:00,65800,64700,65346
21:15,65800,64700,64472
21:30,63700,62800,63761
21:45,63700,62800,63170
22:00,62000,61400,62301
22:15,62000,61400,63053
22:30,63000,62700,62688
22:45,63000,62700,64100
23:00,65000,65000,63630
23:15,65000,65000,63140
23:30,64000,63400,62192
23:45,64000,63400,61914
,,,
,,,
Journée du 08/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,56919,60867,61636
00:15,56338,62133,61465
00:30,60200,59600,60402
00:45,60200,59600,58873
01:00,58500,57400,57733
01:15,58500,57400,57902
01:30,58300,58000,57294
01:45,58300,58000,57156
02:00,58000,57000,56432
02:15,58000,57000,56840
02:30,56800,56000,56167
02:45,56800,56000,55709
03:00,55200,54900,55062
03:15,55200,54900,54743
03:30,54200,54000,54164
03:45,54200,54000,53887
04:00,53200,53200,53428
04:15,53200,53200,53693
04:30,53200,53400,53460
04:45,53200,53400,53501
05:00,54100,54700,53689
05:15,54100,54700,55050
05:30,56000,55800,55381
05:45,56000,55800,56115
06:00,58100,58100,56814
06:15,58100,58100,59075
06:30,61300,60600,60332
06:45,61300,60600,61317
07:00,64500,63100,62528
07:15,64500,63100,64063
07:30,67200,65600,65238
07:45,67200,65600,66062
08:00,69400,67200,66803
08:15,69400,67200,67507
08:30,70100,68300,68133
08:45,70100,68300,68532
09:00,70300,68500,68592
09:15,70300,68500,68748
09:30,70300,69300,69038
09:45,70300,69300,69405
10:00,70000,69400,69406
10:15,70000,69400,69597
10:30,69700,69800,69799
10:45,69700,69800,69786
11:00,69700,69800,69765
11:15,69700,69800,70086
11:30,70000,70200,70187
11:45,70000,70200,70482
12:00,69200,71500,70888
12:15,69200,71500,71256
12:30,69700,71100,71270
12:45,69700,71100,72020
13:00,70300,72300,71533
13:15,70300,72300,70760
13:30,68500,69600,70058
13:45,68500,69600,69718
14:00,68100,69000,69022
14:15,68100,69000,68752
14:30,67200,67500,68019
14:45,67200,67500,67307
15:00,66200,66800,66802
15:15,66200,66800,66864
15:30,65400,65800,66350
15:45,65400,65800,65919
16:00,64500,65500,65585
16:15,64500,65500,65482
16:30,64800,65000,65319
16:45,64800,65000,65157
17:00,65300,65200,64916
17:15,65300,65200,65397
17:30,66500,66200,65832
17:45,66500,66200,66699
18:00,68100,67400,67398
18:15,68100,67400,67961
18:30,69000,69100,68647
18:45,69000,69100,69356
19:00,70000,70400,70050
19:15,70000,70400,69986
19:30,69500,69400,69499
19:45,69500,69400,68763
20:00,67000,67100,67694
20:15,67000,67100,66530
20:30,65200,64500,65193
20:45,65200,64500,64185
21:00,63200,62400,63056
21:15,63200,62400,62196
21:30,61800,61000,61336
21:45,61800,61000,60731
22:00,60500,59700,59990
22:15,60500,59700,60822
22:30,62200,61400,60433
22:45,62200,61400,61586
23:00,63200,62200,61199
23:15,63200,62200,60901
23:30,62100,60800,59958
23:45,62100,60800,59563
,,,
,,,
Journée du 09/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,59889,58267,59168
00:15,59278,59533,58925
00:30,57500,57000,57792
00:45,57500,57000,56340
01:00,55500,54900,55099
01:15,55500,54900,55383
01:30,55300,55400,54766
01:45,55300,55400,54848
02:00,54700,54900,54459
02:15,54700,54900,54752
02:30,53600,53800,54043
02:45,53600,53800,53511
03:00,52300,52700,52816
03:15,52300,52700,52505
03:30,51300,51800,51896
03:45,51300,51800,51607
04:00,50600,51300,51033
04:15,50600,51300,51131
04:30,50300,50700,50876
04:45,50300,50700,50746
05:00,50800,51700,50964
05:15,50800,51700,52196
05:30,52500,53100,52560
05:45,52500,53100,53377
06:00,54300,55000,54159
06:15,54300,55000,56164
06:30,57400,58000,57478
06:45,57400,58000,58553
07:00,60400,61200,59772
07:15,60400,61200,61838
07:30,63200,63800,63199
07:45,63200,63800,64071
08:00,65000,65400,65011
08:15,65000,65400,65590
08:30,65900,66300,65835
08:45,65900,66300,66369
09:00,66500,66800,66510
09:15,66500,66800,66834
09:30,67200,67400,67341
09:45,67200,67400,67729
10:00,67800,67900,67908
10:15,67800,67900,68031
10:30,68100,68500,68311
10:45,68100,68500,68498
11:00,68800,69100,68794
11:15,68800,69100,69094
11:30,69500,69300,69254
11:45,69500,69300,69435
12:00,70700,70000,69592
12:15,70700,70000,69053
12:30,70400,68400,68572
12:45,70400,68400,68948
13:00,71700,69200,68191
13:15,71700,69200,67734
13:30,69100,66500,67074
13:45,69100,66500,66182
14:00,68500,65300,65696
14:15,68500,65300,65361
14:30,67500,64700,64985
14:45,67500,64700,64575
15:00,66300,64100,64135
15:15,66300,64100,64097
15:30,65600,63300,63478
15:45,65600,63300,63223
16:00,65000,62700,63101
16:15,65000,62700,62929
16:30,64900,63300,63041
16:45,64900,63300,63316
17:00,65700,64000,63662
17:15,65700,64000,64397
17:30,67800,65900,65220
17:45,67800,65900,66527
18:00,70000,68300,67674
18:15,70000,68300,68732
18:30,71600,69800,69485
18:45,71600,69800,70317
19:00,73500,71700,71217
19:15,73500,71700,71376
19:30,71800,70700,70841
19:45,71800,70700,70106
20:00,69200,68300,69195
20:15,69200,68300,68449
20:30,67300,66500,67526
20:45,67300,66500,66708
21:00,65600,65000,65678
21:15,65600,65000,64905
21:30,64800,64300,64260
21:45,64800,64300,63712
22:00,63400,63100,63061
22:15,63400,63100,63590
22:30,65600,65400,63166
22:45,65600,65400,64705
23:00,66400,66400,64384
23:15,66400,66400,64286
23:30,65200,64000,63588
23:45,65200,64000,63211
,,,
,,,
Journée du 10/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,61671,62067,62833
00:15,61041,63033,62810
00:30,60500,61100,61837
00:45,60500,61100,60466
01:00,58400,59300,59435
01:15,58400,59300,59472
01:30,58800,59000,58904
01:45,58800,59000,58931
02:00,58000,58800,58271
02:15,58000,58800,58692
02:30,57100,57600,58040
02:45,57100,57600,57404
03:00,56000,56500,56703
03:15,56000,56500,56505
03:30,55200,55800,55970
03:45,55200,55800,55626
04:00,54500,55200,55320
04:15,54500,55200,55426
04:30,54700,55400,55431
04:45,54700,55400,55368
05:00,55900,55600,55594
05:15,55900,55600,57048
05:30,57500,58300,57651
05:45,57500,58300,58566
06:00,59800,60100,59402
06:15,59800,60100,61399
06:30,62900,63200,62651
06:45,62900,63200,63771
07:00,65900,66000,65185
07:15,65900,66000,66892
07:30,68800,68600,68189
07:45,68800,68600,69180
08:00,70800,70700,70187
08:15,70800,70700,71081
08:30,72000,71500,71556
08:45,72000,71500,71735
09:00,72100,72300,71826
09:15,72100,72300,71998
09:30,72500,72300,72224
09:45,72500,72300,72241
10:00,72300,72500,72323
10:15,72300,72500,72792
10:30,72200,72800,72841
10:45,72200,72800,72662
11:00,72100,72900,72751
11:15,72100,72900,72890
11:30,72200,72800,72890
11:45,72200,72800,72868
12:00,73000,73500,73090
12:15,73000,73500,73175
12:30,71900,72700,72936
12:45,71900,72700,73287
13:00,72500,73600,72511
13:15,72500,73600,71871
13:30,69700,70600,70926
13:45,69700,70600,70520
14:00,68800,69900,69983
14:15,68800,69900,69645
14:30,67400,68800,69043
14:45,67400,68800,68333
15:00,66200,67400,67721
15:15,66200,67400,67380
15:30,65100,66700,66968
15:45,65100,66700,66544
16:00,64500,66400,66344
16:15,64500,66400,66247
16:30,63500,65800,66030
16:45,63500,65800,66076
17:00,64500,66800,66401
17:15,64500,66800,67171
17:30,66100,68300,67986
17:45,66100,68300,68806
18:00,67800,70100,69654
18:15,67800,70100,70496
18:30,69400,70800,70894
18:45,69400,70800,71222
19:00,71000,72000,71655
19:15,71000,72000,71456
19:30,70000,70700,71035
19:45,70000,70700,70287
20:00,67900,69500,69498
20:15,67900,69500,68565
20:30,65900,67600,67614
20:45,65900,67600,66630
21:00,64300,66100,65759
21:15,64300,66100,65207
21:30,63500,65400,64518
21:45,63500,65400,64034
22:00,62500,64500,63356
22:15,62500,64500,64127
22:30,63700,65700,64294
22:45,63700,65700,65745
23:00,64500,66500,65356
23:15,64500,66500,65091
23:30,63500,65100,64462
23:45,63500,65100,64379
,,,
,,,
Journée du 11/01/2025,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00,62760,63233,64296
00:15,62119,64167,64028
00:30,62300,62300,62980
00:45,62300,62300,61765
01:00,60100,60400,60656
01:15,60100,60400,60575
01:30,60600,60800,60087
01:45,60600,60800,59848
02:00,59800,60100,59297
02:15,59800,60100,59464
02:30,57500,58200,58557
02:45,57500,58200,57971
03:00,55900,56900,57078
03:15,55900,56900,56826
03:30,55200,55600,56019
03:45,55200,55600,55444
04:00,55000,55100,55228
04:15,55000,55100,55179
04:30,54500,54400,54756
04:45,54500,54400,54551
05:00,54200,54700,54556
05:15,54200,54700,55194
05:30,55200,55400,55257
05:45,55200,55400,55482
06:00,56000,55800,55615
06:15,56000,55800,56515
06:30,57300,57200,57029
06:45,57300,57200,57419
07:00,58500,58400,57832
07:15,58500,58400,58629
07:30,60000,59300,59206
07:45,60000,59300,59640
08:00,61500,61100,60340
08:15,61500,61100,61328
08:30,62600,62200,61838
08:45,62600,62200,62548
09:00,64200,63500,63031
09:15,64200,63500,63908
09:30,65400,64900,64480
09:45,65400,64900,65297
10:00,66800,65700,65666
10:15,66800,65700,66332
10:30,68000,67200,66988
10:45,68000,67200,67130
11:00,68600,67800,67472
11:15,68600,67800,67914
11:30,68600,68200,68018
11:45,68600,68200,68178
12:00,70000,69400,68545
12:15,70000,69400,69089
12:30,69600,69200,69352
12:45,69600,69200,69957
13:00,71200,70200,69196
13:15,71200,70200,68211
13:30,67800,67000,67464
13:45,67800,67000,66714
14:00,66300,65400,65755
14:15,66300,65400,65157
14:30,65000,64000,64346
14:45,65000,64000,63764
15:00,64000,63100,63249
15:15,64000,63100,62941
15:30,62900,62100,62449
15:45,62900,62100,61999
16:00,61600,61300,61670
16:15,61600,61300,61681
16:30,61300,62000,61843
16:45,61300,62000,62036
17:00,61800,62600,62268
17:15,61800,62600,63082
17:30,64200,64900,64223
17:45,64200,64900,65377
18:00,66300,67300,66443
18:15,66300,67300,67878
18:30,68000,69000,68668
